Date,Open,High,Low,Last,Volume,Open Interest
2009/7/15,642.5,644.5,632.5,636,77,3212
2009/7/14,630,630,617.5,620.5,1327,12910
2009/7/13,612,631.5,610,630,1435,12873
2009/7/10,617,617.25,610,612.5,938,12229
2009/7/9,618,623,612,617.75,1489,12009
2009/7/8,616,622.5,613.5,614,1607,11754
2009/7/7,622,627.5,615,615.5,1158,11268
2009/7/6,632.25,633,620,620.5,939,10874
2009/7/2,646.5,647.25,628.25,632.25,1056,10680
2009/7/1,648.25,653.5,639.5,646,1207,10494
2009/6/30,668.25,672.75,638.5,646.25,1529,10067
2009/6/29,678,682.75,666.5,668.25,595,9768
2009/6/26,685.5,685.5,678,678.75,483,9707
2009/6/25,697,698.5,682.5,684,853,9771
2009/6/24,704.5,708,692.75,697.5,659,9372
2009/6/23,701.5,708,699,705,939,9540
2009/6/22,707,708,697,701.5,767,9345
2009/6/19,716.5,718,707,707.75,1088,9247
2009/6/18,716.75,718,708.25,714.75,1778,9125
2009/6/17,717.25,719,708.5,716.25,559,8324
2009/6/16,729,736,712.25,716.25,667,8354
2009/6/15,735,735,722.25,726,430,8114
2009/6/12,738.5,740,725,736.5,1046,8442
2009/6/11,736,742.25,734,737.75,1054,8016
2009/6/10,750.25,752,730,731.5,813,7792
2009/6/9,743.25,752.5,737.5,750.25,745,7536
2009/6/8,757.5,758.5,731.5,732.75,921,7586
2009/6/5,775,776.5,756.5,759,744,7545
2009/6/4,753,787.25,752.75,775.5,997,7514
2009/6/3,798.25,798.25,751.75,752,1965,7443
2009/6/2,805,812.25,797.25,811,2184,7611
2009/6/1,783,811,783,809.5,1112,7628
2009/5/29,776,788.5,751.75,783.25,683,7363
2009/5/28,780,799.5,772,777,1248,7163
2009/5/27,758,783,758,781.75,1313,6894
2009/5/26,745,762,742,758.75,643,6309
2009/5/22,728,750.75,728,748.75,503,6082
2009/5/21,727,734,720,730.5,477,6131
2009/5/20,715,730.75,715,729,502,6084
2009/5/19,715,724.75,715,717.75,626,5928
2009/5/18,700.25,725.25,700.25,720.5,279,5964
2009/5/15,725,726.25,706.25,708.5,421,6009
2009/5/14,706.5,723.25,701.25,719.75,1289,8801
2009/5/13,700,710.5,699.5,708.25,1180,8674
2009/5/12,694.75,703.5,692.25,700.25,1395,8555
2009/5/11,686.5,695,685.75,694.75,838,7819
2009/5/8,677,697,677,696.25,746,7831
2009/5/7,668,687.25,667.5,679.75,979,7737
2009/5/6,664.25,674,663.75,668.25,465,7656
2009/5/5,660.75,670.25,658,666.75,407,7658
2009/5/4,668,675,652.5,659,981,7679
2009/5/1,650,678,650,676.75,801,7329
2009/4/30,641.5,656,640,649.25,675,7122
2009/4/29,636.75,646.5,636,645.5,888,7149
2009/4/28,633.75,644,632,635,654,7321
2009/4/27,645,647.25,632.5,633.75,742,7408
2009/4/24,645,651.25,642,644.75,1377,7545
2009/4/23,636.25,654,634.25,646,1319,7399
2009/4/22,625,637,623.5,636.25,1284,7529
2009/4/21,615.5,626.25,612.25,621.5,2549,7717
2009/4/20,618,618,608.75,614.5,395,6821
2009/4/17,625,629.75,623,626.5,270,6764
2009/4/16,618.5,625.75,615.25,624.5,383,6768
2009/4/15,623,626.25,617.75,618.5,669,6866
2009/4/14,626.75,631.5,619,623.25,1665,6739
2009/4/13,628,630.75,619.75,626.75,808,6720
2009/4/9,639,649.75,626.75,627.75,391,6538
2009/4/8,647,653.75,639,639,551,6427
2009/4/7,659,669.25,645.25,647.5,769,6332
2009/4/6,663,668.5,654.75,659,503,5883
2009/4/3,650,664,650,663.25,690,5701
2009/4/2,635,652,635,651.75,1017,5569
2009/4/1,632,632,619,630.25,616,4964
2009/3/31,607.5,633.5,607.5,633,750,4758
2009/3/30,604,607.75,599,607.5,171,4715
2009/3/27,609.5,609.5,599.25,605,826,4690
2009/3/26,609,612,605,610.5,1298,4967
2009/3/25,631,631,605.5,605.5,494,4923
2009/3/24,640,642,626,630.75,416,4806
2009/3/23,640,651,640,640.75,325,4677
2009/3/20,641,642.5,632.75,638,264,4668
2009/3/19,640,644,634.25,641.25,218,4742
2009/3/18,637,641.25,619.25,621.25,552,4730
2009/3/17,625,639,625,637,257,4355
2009/3/16,608,633.5,608,631,282,4357
2009/3/13,606,612.5,599.25,600.75,287,6869
2009/3/12,600,611,600,609,601,6988
2009/3/11,618,619.75,594.75,597.5,871,6930
2009/3/10,607.25,624.25,607.25,617.5,911,6917
2009/3/9,608,613.75,600.5,604.75,515,6690
2009/3/6,593,612,593,605,523,6485
2009/3/5,598,602.25,592,593.75,494,6469
2009/3/4,582,600.25,582,598.75,535,6515
2009/3/3,592,592,580.25,582.25,777,6456
2009/3/2,600.75,602.5,584,588,427,6463
2009/2/27,599.25,603.75,595,600,1185,6762
2009/2/26,605,612,597.5,599.5,845,6588
2009/2/25,597.5,608.75,593,606.25,1084,6421
2009/2/24,592,599.75,589.5,599,467,5725
2009/2/23,604.5,604.5,593,593.75,601,5672
2009/2/20,597,600.75,591.5,596.75,671,5519
2009/2/19,602,605.5,598.75,604.25,525,5334
2009/2/18,596,600,593.75,597.5,503,5462
2009/2/17,618.75,619.75,597,597.75,702,5466
2009/2/13,623,628,620,622,463,5547
2009/2/12,625,632.75,622.75,623.5,460,5438
2009/2/11,632,636,625,625.25,581,5275
2009/2/10,639.5,640.5,627,635.75,346,5094
2009/2/9,645,652,640,641,284,5108
2009/2/6,639.5,641.25,631.75,634.75,375,4969
2009/2/5,625.5,641.25,623.75,637.5,857,4831
2009/2/4,629,632,618,621.75,892,4513
2009/2/3,640.25,640.25,625.25,626.25,272,4151
2009/2/2,637.75,643.25,631,635.25,392,4159
2009/1/30,651.25,658.75,644.75,645,410,4025
2009/1/29,662.5,662.5,651,654.75,307,3866
2009/1/28,649.5,668.75,649.5,666.5,306,3893
2009/1/27,655.5,659.75,650,656.5,195,3783
2009/1/26,665,673,655.75,659.25,363,3747
2009/1/23,638,664.25,634.75,650.25,672,3614
2009/1/22,645.25,645.25,635.25,642.25,422,3350
2009/1/21,631,646.75,629.5,645.75,138,3225
2009/1/20,648.25,651.75,627.25,628.25,185,3187
2009/1/16,650.75,655.75,648.25,649.75,185,3173
2009/1/15,642.75,649.5,636.75,641.25,88,3239
2009/1/14,639.75,650.75,635.5,641,227,3279
2009/1/13,636.25,658.75,635,641.5,223,3309
2009/1/12,655.25,659.25,635.5,635.5,258,3401
2009/1/9,679,693.25,676.25,691.25,590,3415
2009/1/8,666.75,680,662.75,677,170,3542
2009/1/7,694,698,668,676.25,664,3693
2009/1/6,668.5,699,668.5,697.5,867,3612
2009/1/5,657.75,668.5,655.5,667.5,405,3437
2009/1/2,665,667.75,649.25,666.75,464,3366
2008/12/31,653.75,666,653.5,664.25,370,3417
2008/12/30,652.5,663,648,661.75,677,3303
2008/12/29,673.5,677,651,651.5,258,3225
2008/12/26,662.25,665,659.25,659.5,138,3074
2008/12/24,641.25,647.5,641.25,647.5,41,2997
2008/12/23,627.25,644.25,623.75,642.25,84,3010
2008/12/22,635,639,633,638.25,228,3016
2008/12/19,631.25,642,630.25,634,286,3111
2008/12/18,629.25,642,623,638.5,85,3122
2008/12/17,613.75,626,610,624.5,263,3149
2008/12/16,590,615,588,611.5,462,3187
2008/12/15,607.25,610,590.25,592.5,200,2928
2008/12/12,582.5,605,573,586.75,640,8342
2008/12/11,588,596,584.25,586,565,8080
2008/12/10,571,599,571,589.25,3096,8181
2008/12/9,567.5,575,564.75,566,878,7494
2008/12/8,552.75,575.5,552.75,569,1056,7866
2008/12/5,564.75,568.25,552.25,552.75,985,8382
2008/12/4,590,590.75,566.5,566.5,2171,8086
2008/12/3,590.25,601,590.25,593.75,991,7164
2008/12/2,598.25,601,590,594.5,801,7070
2008/12/1,613.75,614.25,586,593,426,6660
2008/11/28,616.5,618.75,613,615.25,469,6637
2008/11/26,620,624,613.25,616.5,710,6447
2008/11/25,622.75,628.25,618,621,574,6091
2008/11/24,595.5,641.75,595.5,625.75,664,6219
2008/11/21,600.5,607.25,594.25,595.5,1039,6219
2008/11/20,614.25,614.75,595.75,609.25,572,5728
2008/11/19,625.5,631.25,615.5,616,597,5552
2008/11/18,631.25,638.5,623.25,625,310,5386
2008/11/17,659.5,659.5,626.75,633,876,5530
2008/11/14,647.25,663.5,647.25,659.5,334,5510
2008/11/13,645.5,678.5,640.25,654.75,825,5513
2008/11/12,636,666.25,624.25,645.5,302,5246
2008/11/11,620.25,637,618.75,637,408,5222
2008/11/10,630.5,637,619.5,629.25,242,5097
2008/11/7,627,633.75,625.5,630.5,168,5078
2008/11/6,635,635,620,627,150,5023
2008/11/5,665.75,668.5,636,639.75,386,5090
2008/11/4,647,676.5,646.75,665.75,434,5061
2008/11/3,632.5,665.25,632.5,650.75,286,4969
2008/10/31,635.75,636,625.75,632.25,465,4923
2008/10/30,649.25,662.25,627,635.75,488,4912
2008/10/29,619.75,670.25,616.5,655,460,5020
2008/10/28,626,633.25,609.5,610.25,197,4877
2008/10/27,596.25,624,596.25,618,270,4911
2008/10/24,614.75,614.75,587.5,602.75,293,4957
2008/10/23,606.5,619.5,606.25,609,612,4899
2008/10/22,623.5,623.5,600.75,602,488,4867
2008/10/21,650.5,651.25,632,633,614,4881
2008/10/20,657.5,659,643.25,649.75,427,4711
2008/10/17,645.5,655,642.5,652.25,188,4510
2008/10/16,654,654,635,643.5,914,4581
2008/10/15,667.75,667.75,650.5,654.5,355,4324
2008/10/14,686,686.75,672.75,674.25,931,4469
2008/10/13,678,682.75,668,678,235,4242
2008/10/10,688,688,653,657.25,709,4270
2008/10/9,698.5,706.75,692.75,696,359,4141
2008/10/8,693.5,700,681.75,696.5,257,4040
2008/10/7,699.25,706.75,687,690.75,374,4136
2008/10/6,723,723,683.75,688,508,4101
2008/10/3,731,740,726,729.75,422,3929
2008/10/2,754,754.25,727.5,729,497,3998
2008/10/1,770,772.25,761,764.25,445,3812
2008/9/30,774.5,779.5,769,771.5,489,3826
2008/9/29,791.5,793,769,770.25,401,3640
2008/9/26,817,819.5,808.5,809,91,3649
2008/9/25,814,828.25,812,826,17,3632
2008/9/24,836,840,814.25,820,398,3746
2008/9/23,822.5,837.5,817,835,202,3621
2008/9/22,840,840,820.5,824,191,3542
2008/9/19,805,809.75,792,807,221,3545
2008/9/18,810.75,811.5,784,786.5,297,3523
2008/9/17,791.25,813,778.25,810.75,80,3402
2008/9/16,800.75,800.75,776.75,777.75,532,3481
2008/9/15,805,821,797.5,809.25,297,3163
2008/9/12,806.25,820,799.5,805.5,616,9731
2008/9/11,805.75,815.5,798,807,1345,9923
2008/9/10,816,816,804,806,877,9856
2008/9/9,823,825.5,806,816,1412,9756
2008/9/8,833.75,848.5,824,825,827,9464
2008/9/5,856.5,856.5,829,834,1545,9490
2008/9/4,860,868,855,858,1393,8832
2008/9/3,855,863.5,845,860,1151,8394
2008/9/2,877,877,848.25,855,1945,8364
2008/8/29,889.75,892,879.75,884.5,898,7567
2008/8/28,903.25,903.5,884.5,890,1766,7542
2008/8/27,925.25,933,898.75,902,742,6776
2008/8/26,944,944.75,920,923.5,956,6686
2008/8/25,975.75,981.75,942.75,944,379,6411
2008/8/22,997.5,997.5,967,968,508,6276
2008/8/21,966.25,1016.5,966.25,997.75,1098,5983
2008/8/20,953,972.75,953,966,424,5865
2008/8/19,953.75,967.5,948,948,550,5805
2008/8/18,940,979.75,940,960.5,340,5568
2008/8/15,961,967.5,934.25,940,532,5589
2008/8/14,959.75,991.25,942,974,965,5801
2008/8/13,905.5,965.5,905.5,959.5,1305,5806
2008/8/12,896.75,911,887,905.5,1023,5381
2008/8/11,876.75,916.25,876.75,897,165,4928
2008/8/8,906.75,909.25,875,878,187,4923
2008/8/7,896.75,929.75,894.5,922,496,5139
2008/8/6,886,895.75,862,882,831,5101
2008/8/5,869.75,915,866.75,890,356,5034
2008/8/4,892.5,894,868.25,872,409,4914
2008/8/1,891.75,913,891.75,903,355,4669
2008/7/31,893,903.5,891,895,448,4601
2008/7/30,896.75,897,890.25,895,148,4232
2008/7/29,891.75,900.75,887,889,97,4209
2008/7/28,925,925,897.5,901,395,4242
2008/7/25,894.75,920.25,894.75,917,416,4111
2008/7/24,897.75,900.75,893,900,121,4013
2008/7/23,889.5,907.5,884.5,901,517,4081
2008/7/22,901.5,907.25,896.25,899,131,3832
2008/7/21,903,906,893,899,97,3826
2008/7/18,903,914,900,903,454,3809
2008/7/17,920.25,927.5,901,902,450,3835
2008/7/16,901,925.5,893.5,922,301,3888
2008/7/15,916,920.75,904,905.75,717,3996
2008/7/14,907,907,889,894,2086,19696
2008/7/11,895.25,912,893,909.75,1925,19249
2008/7/10,899,904.5,888.25,898,1028,18859
2008/7/9,902.75,904.25,889,898,2014,19275
2008/7/8,901.5,903.25,884,900.75,2501,19379
2008/7/7,940.5,947,895,903,2158,18941
2008/7/3,952,958.25,940.25,955,2819,19000
2008/7/2,959.5,959.5,944,955,2664,18437
2008/7/1,964.25,972,950,956.5,1329,17768
2008/6/30,1006.25,1028.75,961.5,965,1493,17551
2008/6/27,1030,1050,1012,1013,1457,17267
2008/6/26,1007.25,1048.25,999,1030,2081,17631
2008/6/25,981.5,1011,980.25,1006,1059,17455
2008/6/24,975,990,971.75,981,1193,17377
2008/6/23,964.75,981,962,974.25,1627,17134
2008/6/20,995.5,1005.5,978.5,981.5,1056,17324
2008/6/19,1014,1019.75,992,995,1663,17426
2008/6/18,1018.75,1022,999.75,1013.75,694,17766
2008/6/17,988,1009,977.75,1006,707,17693
2008/6/16,1006,1017.25,987,989,1835,17875
2008/6/13,949.5,990,932,988.25,1801,17581
2008/6/12,982,982,950.5,955,1859,17110
2008/6/11,916,976,910,976,2728,17276
2008/6/10,913,921.75,885.75,916,1052,17097
2008/6/9,920,953.5,905.75,907,2348,17402
2008/6/6,888,930,887.75,920,704,17474
2008/6/5,863,888,861,888,1393,17501
2008/6/4,868.75,875.5,858.75,863,2189,17582
2008/6/3,888,888,862.25,865,1374,16862
2008/6/2,871,902,869.25,889,855,16640
2008/5/30,857,876.25,856,875,815,16639
2008/5/29,868,871,850,861,1197,16560
2008/5/28,865.75,872,855.75,868,498,16405
2008/5/27,865,875.25,860,869,356,16410
2008/5/23,857,862.75,851.5,856,601,16448
2008/5/22,886.25,893,856,856,1338,16831
2008/5/21,888,896,880.25,888,1240,16756
2008/5/20,892,898,885.75,888,408,16525
2008/5/19,872.25,892.5,870,880,1284,16585
2008/5/16,877,889,869.5,870,1942,16503
2008/5/15,871,880.5,840,877.5,1160,15783
2008/5/14,882,882,859.5,863,2599,18023
2008/5/13,890.25,897.75,875.75,886,1474,17591
2008/5/12,894.75,896.75,878.5,891.75,1390,17359
2008/5/9,914.5,920.75,880,895.75,1490,17145
2008/5/8,895,918.75,890,910,1135,17054
2008/5/7,903,904,887.75,894,892,17006
2008/5/6,886.5,906,885,898,898,17000
2008/5/5,894,899.5,879,884,568,17052
2008/5/2,877,894.25,877,894,733,17004
2008/5/1,881,888,863.5,877,1030,17147
2008/4/30,880,891,865.75,880,1270,17099
2008/4/29,898,909.75,870,878,898,16842
2008/4/28,892,906.5,892,906,552,16736
2008/4/25,897.5,904.5,888,892,903,16773
2008/4/24,907.5,909,895,903,1074,16919
2008/4/23,937.25,937.25,903,912,1182,16814
2008/4/22,937,947,925.75,947,960,16557
2008/4/21,960,960,919,937,1248,16638
2008/4/18,1005,1007,959.5,970,982,16506
2008/4/17,1011.25,1024.75,987.25,1005,423,16531
